crash_date,borough,latitude,longitude,number_of_persons_injured,contributing_factor_vehicle_1
2021-09-11T00:00:00.000,MANHATTAN,40.718662,-74.00615,0,Unspecified
2021-09-09T00:00:00.000,BROOKLYN,40.680664,-73.97028,0,Backing Unsafely
2021-12-10T00:00:00.000,BROOKLYN,40.67392,-73.91012,0,Unspecified
2021-12-10T00:00:00.000,,40.806835,-73.924355,0,Other Vehicular
2021-11-27T00:00:00.000,BROOKLYN,40.627735,-73.920105,0,Unspecified
2021-12-09T00:00:00.000,,0.0,0.0,1,Traffic Control Disregarded
2021-12-08T00:00:00.000,BROOKLYN,40.661263,-73.955765,0,Unspecified
2021-12-08T00:00:00.000,,40.844883,-73.907295,0,Following Too Closely
2021-12-10T00:00:00.000,QUEENS,40.76104,-73.88162,0,Driver Inattention/Distraction
2021-12-10T00:00:00.000,,40.669777,-73.9583,1,Failure to Yield Right-of-Way
2021-12-10T00:00:00.000,BRONX,40.839443,-73.90436,0,Unsafe Lane Changing
2021-12-10T00:00:00.000,QUEENS,40.75245,-73.94507,0,Driver Inattention/Distraction
2021-12-08T00:00:00.000,BROOKLYN,40.687748,-73.980125,0,Passing Too Closely
2021-12-03T00:00:00.000,,40.87356,-73.81853,0,Unspecified
2021-12-10T00:00:00.000,BRONX,40.8176,-73.90373,1,Other Vehicular
2021-12-09T00:00:00.000,BROOKLYN,40.638428,-73.91275,0,Unspecified
2021-12-10T00:00:00.000,MANHATTAN,40.813885,-73.95211,0,Unspecified
2021-12-10T00:00:00.000,MANHATTAN,40.77733,-73.95456,0,Unsafe Speed
2021-12-10T00:00:00.000,,40.713135,-74.00407,0,Failure to Yield Right-of-Way
2021-12-09T00:00:00.000,,40.775486,-73.98217,2,Driver Inattention/Distraction
2021-12-09T00:00:00.000,BROOKLYN,40.591137,-73.97752,0,Unspecified
2021-11-24T00:00:00.000,,40.865536,-73.92728,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
2021-12-09T00:00:00.000,MANHATTAN,40.76551,-73.97795,1,Following Too Closely
2021-12-08T00:00:00.000,BROOKLYN,40.63311,-73.97217,0,Unspecified
2021-09-11T00:00:00.000,,40.823772,-73.87245,1,Alcohol Involvement
2021-07-09T00:00:00.000,,40.84497,-73.90247,0,Passing Too Closely
2021-09-10T00:00:00.000,,40.675507,-74.00075,0,Unspecified
2021-07-01T00:00:00.000,QUEENS,40.609535,-73.75372,0,Passing or Lane Usage Improper
2021-07-07T00:00:00.000,MANHATTAN,40.730446,-74.00431,0,Driver Inexperience
2021-09-11T00:00:00.000,QUEENS,40.721645,-73.8026,0,Unspecified
2021-07-07T00:00:00.000,,40.853477,-73.82622,0,Unspecified
2021-09-11T00:00:00.000,QUEENS,40.66901,-73.80265,0,Alcohol Involvement
2021-09-11T00:00:00.000,STATEN ISLAND,40.629475,-74.1123,1,Unspecified
2021-09-03T00:00:00.000,BROOKLYN,40.6843,-73.99724,0,Passing Too Closely
2021-07-08T00:00:00.000,,40.767612,-73.950005,0,Following Too Closely
2021-08-23T00:00:00.000,,40.80066,-73.9544,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,BRONX,40.87645,-73.848175,0,Turning Improperly
2021-09-11T00:00:00.000,QUEENS,40.737865,-73.876144,0,Passing or Lane Usage Improper
2021-09-06T00:00:00.000,,40.764103,-73.93277,1,Reaction to Uninvolved Vehicle
2021-07-08T00:00:00.000,,40.66735,-73.76994,1,Other Vehicular
2021-07-07T00:00:00.000,,40.824265,-73.95642,0,Passing Too Closely
2021-09-11T00:00:00.000,,40.702045,-73.9156,0,Backing Unsafely
2021-09-07T00:00:00.000,,40.85306,-73.931,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,MANHATTAN,0.0,0.0,0,Unspecified
2021-07-08T00:00:00.000,,40.697315,-73.932274,0,Turning Improperly
2021-09-11T00:00:00.000,,40.679344,-73.859535,0,Passing Too Closely
2021-09-11T00:00:00.000,QUEENS,40.708923,-73.81877,0,Unspecified
2021-07-08T00:00:00.000,STATEN ISLAND,40.60203,-74.09572,1,Lost Consciousness
2021-09-10T00:00:00.000,,40.693787,-73.81173,1,Unsafe Speed
2021-09-11T00:00:00.000,BRONX,40.826767,-73.888855,0,Unspecified
2021-09-09T00:00:00.000,STATEN ISLAND,40.56692,-74.116234,1,Passing or Lane Usage Improper
2021-09-11T00:00:00.000,BROOKLYN,40.623913,-74.00726,0,Driver Inattention/Distraction
2021-09-11T00:00:00.000,,40.592422,-73.99508,0,Following Too Closely
2021-09-11T00:00:00.000,BROOKLYN,40.6783,-73.88988,0,Unspecified
2021-09-10T00:00:00.000,QUEENS,40.748962,-73.89176,0,Driver Inattention/Distraction
2021-07-08T00:00:00.000,BROOKLYN,40.631508,-73.90506,0,Driver Inexperience
2021-09-11T00:00:00.000,,40.677322,-73.790955,0,Alcohol Involvement
2022-03-26T00:00:00.000,,40.57666,-73.965836,0,Following Too Closely
2021-09-11T00:00:00.000,,40.804585,-73.94782,1,Traffic Control Disregarded
2021-09-11T00:00:00.000,BRONX,40.832916,-73.92939,0,Following Too Closely
2021-09-11T00:00:00.000,QUEENS,40.722515,-73.73332,1,Unspecified
2021-09-10T00:00:00.000,QUEENS,40.692127,-73.83484,2,Failure to Yield Right-of-Way
2021-09-11T00:00:00.000,BRONX,40.807537,-73.8798,0,Traffic Control Disregarded
2021-07-06T00:00:00.000,BRONX,40.878128,-73.86944,0,Other Vehicular
2021-07-09T00:00:00.000,,40.75777,-73.854164,0,Driver Inattention/Distraction
2021-09-10T00:00:00.000,BROOKLYN,40.6569,-73.907486,0,Unspecified
2021-09-11T00:00:00.000,,40.845024,-73.92632,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,BRONX,40.817795,-73.89319,1,Unspecified
2021-07-02T00:00:00.000,,40.81915,-73.93062,1,Driver Inexperience
2021-09-06T00:00:00.000,STATEN ISLAND,40.591778,-74.12734,0,Backing Unsafely
2021-09-11T00:00:00.000,QUEENS,40.753994,-73.94244,1,Following Too Closely
2021-09-11T00:00:00.000,MANHATTAN,40.724846,-73.999,1,Passing or Lane Usage Improper
2021-07-09T00:00:00.000,,40.822933,-73.93813,0,Other Vehicular
2021-09-11T00:00:00.000,,40.680477,-73.951164,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,BROOKLYN,40.648243,-73.929,0,Backing Unsafely
2021-07-08T00:00:00.000,BROOKLYN,40.64366,-73.90067,1,Driver Inattention/Distraction
2021-07-09T00:00:00.000,,40.6843,-73.94121,0,Passing Too Closely
